planet_ID,planet_temp,log_H2O,log_CO2,log_CH4,log_CO,log_NH3
0,1109.4906874904832,-8.86797248713725,-7.434078834973797,-3.2914273604305055,-3.3998768759076436,-8.890987359927683
1,636.9774748065636,-9.323548543363843,-9.24752093732087,-5.513984469195156,-4.816854744341979,-6.029389743794021
2,420.392211095466,-7.773854930112408,-6.449624010519506,-7.086556018669634,-5.39059814821205,-4.6680488729400365
3,1382.8134993711592,-8.827417268231287,-5.891994962247149,-4.4782716675606675,-7.749673215116948,-7.922047292539481
4,746.1779981729443,-4.172825112396656,-6.927282140388544,-6.397635334809105,-4.166813083510369,-9.489310052840551
5,1603.6846476004746,-6.823819936155593,-8.938286220804079,-6.323443461065922,-3.898265952318068,-4.836607212777398
6,1688.2615475569876,-8.866958990525678,-4.8990776797204685,-9.14215958454083,-7.523783557140304,-4.310767032206019
7,1039.7759567264277,-4.867362697047397,-5.161851143674076,-9.713503205392035,-3.230069823867426,-5.898704936515463
8,1898.2838580605012,-4.573761359281347,-4.459269547934109,-5.547122905599492,-7.196864848262753,-9.032424314462506
9,1395.9271373886463,-3.214233264924709,-5.590907453038256,-9.505983818717755,-5.557648934093248,-8.867759584861794
10,924.773666042184,-8.518765658815818,-4.690000612919695,-4.350202823674669,-7.685243397372624,-9.156902489102825
11,1690.2363577463668,-5.880851581288333,-6.346056812871031,-5.243765832515899,-3.38674333568063,-9.49571151405657
12,456.39042144790784,-9.010037841518606,-9.46826469937555,-9.337427333667888,-3.79821948747704,-5.689794617303206
13,674.315687391327,-3.546187667202325,-4.791067987844704,-6.85052548312004,-7.450986874692352,-9.41591705015326
14,1093.7627789445846,-6.059482144913301,-4.455718052038799,-4.792187324180166,-4.376332189283801,-9.283966422870664
15,669.537657186394,-9.652711894260126,-7.743182642472584,-6.546785970572662,-3.839929398401023,-6.659185822576265
16,1299.14456399686,-4.644705765182529,-5.604925966704297,-9.24897922678645,-6.964723379570822,-4.680746497432056
17,1300.5038344668503,-9.153510639462793,-6.9951886475242935,-4.196278639021381,-4.789455115591581,-9.37422051308708
18,1852.8533896675792,-3.5543989181052953,-9.028980635867674,-4.793259207174418,-3.7127019533279384,-4.572303836502962
19,1122.2504839414578,-9.542510152843647,-6.542685570530461,-9.7654649431823,-4.666254472630064,-9.558871623014674
20,1957.41667351324,-9.505708211756216,-7.471220536105798,-5.609451492574816,-6.32912535237251,-5.856296715037474
21,1338.4156136435834,-4.400443991022047,-9.632549560693722,-5.354085102133804,-6.750195303782509,-6.054892635831588
22,942.9146701493694,-6.6343393270592035,-4.106044995631376,-4.800747616555477,-7.436508078477871,-4.3803294406403595
23,1036.071214709023,-9.337997222204562,-5.69936300648703,-9.609488538021196,-3.856621064464699,-5.256100865098248
24,2831.9534895140573,-8.906419429404442,-4.864197011814652,-3.2825818055714144,-8.461467529866974,-8.841907658028823
25,2718.617884998095,-9.098628671141386,-4.982251340464353,-7.116652606391308,-3.660729318227339,-7.339347922509024
26,2535.623026328035,-4.781135381851651,-6.060635962679914,-8.393036690212236,-3.973006946586114,-4.97224377567858
27,637.7330014028369,-3.809440272063199,-6.646090491429298,-4.500703882309401,-5.927776426140578,-9.39090400214321
28,986.4141546134948,-9.456595568141218,-6.8206760986948645,-6.53364090995181,-3.2357105364064447,-6.916013312656926
29,903.990765836815,-9.431226312454562,-9.088846782617718,-5.758969492134882,-4.497215684633923,-6.2703323111240685
30,798.4021204810755,-5.602170804169456,-8.473941595076793,-9.80492821889621,-3.738687615404835,-9.195405667137386
31,1358.7350978166028,-8.122898899845316,-4.668759043344623,-9.41326138443988,-5.105843817505959,-4.758902224282855
32,642.6404481080478,-7.978388904752101,-9.150963484855682,-3.7381444675322486,-5.183172859903058,-6.394544351591943
33,515.8975771231742,-4.087945000656449,-7.049416150706452,-5.033906290688507,-3.91004746603934,-4.69679990909195
34,436.69834452121535,-4.7687314226720865,-5.8134021206450965,-5.224849037838189,-4.630829620527709,-4.996857615811323
35,995.1356714269532,-3.921346908404076,-7.208099805696309,-3.6026828023033906,-7.997218131561482,-9.093955200919678
36,691.1839801507809,-3.994033054380711,-7.821878943569056,-9.468565959961948,-7.480839165264216,-8.208233201830563
37,655.1683244405614,-3.4795413661344505,-6.393341104501379,-3.0774464144172993,-6.603938722497013,-9.085964880545696
38,2557.317967818083,-4.12681346283186,-9.128306945861342,-8.730088452694092,-7.231452529345221,-4.030611615792869
39,654.4929776114776,-3.9367876851132304,-6.277588933368779,-7.5680893374211315,-3.5183508930177707,-9.221256450726488
40,2022.2875676893896,-3.5775428042958417,-4.427782450243068,-9.014494105768758,-7.870728072914055,-8.827174185572028
41,862.6971529682065,-8.931425716351155,-5.910460824879439,-3.4742078115897477,-4.30442153723253,-5.715251457882488
42,2731.9281179077693,-3.754841324237114,-6.362028500382186,-8.5359649383647,-4.425815015177156,-8.504202284968624
43,525.2863799526833,-5.1322208755050305,-5.1180977157186325,-5.045697049182528,-3.201678498464223,-6.675116652146294
44,776.7415022151159,-9.00387975923545,-9.80165743324618,-4.416363238142732,-6.193147308724297,-9.360806074703168
45,442.8095395066592,-4.952719059214361,-7.106537942230477,-9.77057501812115,-5.033687503873137,-5.647001219242059
46,730.817022831424,-9.290573631899658,-6.19422498833513,-5.137442703132865,-4.559831792855345,-9.535390229622752
47,1559.897990994505,-6.116569424205861,-5.059621406594628,-3.7653376777306886,-7.350072304524337,-4.813142927986411
48,2124.2336408280016,-3.346061897372333,-6.752399218633146,-3.578955819437138,-7.052512343423334,-8.615772524299883
49,327.90213000496317,-8.885514713206252,-6.254892599794392,-5.81976719771877,-5.944104115677797,-7.947522710746182
50,1624.2743992106434,-5.092808478210232,-4.113570319975522,-8.736037028660832,-7.629503696843733,-4.156713388694324
51,322.0441659595765,-9.63805189583412,-3.9596990363930247,-6.777345015662303,-4.770788238616331,-9.483996490312208
52,2519.3358166903085,-4.763977822098518,-8.836566872494931,-5.549175392064767,-3.8518913152349046,-9.126517641682424
53,1066.7097222981456,-8.756100453232442,-6.345855688310368,-9.90853934542995,-3.7113110867921058,-5.9364205096143605
54,969.3371795580548,-9.801269880182476,-4.315215447094188,-7.519706545712538,-6.828228075745466,-9.735524807191307
55,803.6903739924331,-5.139238439921873,-7.412929845779956,-9.384674408142349,-4.519768013134584,-9.442192437675956
56,1792.34185905625,-9.478308780206476,-5.674719380462549,-5.411761691603702,-3.9356602284060154,-9.364959846057673
57,973.1802208878707,-6.937437860213733,-4.901788630132416,-6.761376804415984,-3.908471826341245,-6.479305586497713
58,1580.0440721114437,-9.032734962966677,-6.193207802243974,-4.392370073439933,-7.594331354911481,-5.714932886984891
59,707.7539747524872,-8.6289198619065,-4.488538711045466,-3.5506363337143227,-7.930385159256197,-8.724354937900433
60,1358.6863760472754,-8.191377873712437,-9.201689372327754,-3.055162762140605,-7.82318712793726,-4.024010185252555
61,2329.4153265551076,-6.939838454750559,-7.120404657872586,-9.335641101906836,-2.964505477344585,-4.573435175046539
62,242.2399772509997,-9.233491948293324,-9.211885655595838,-7.442559063052686,-3.801130896290224,-8.914702541444528
63,635.6038221664412,-5.05487572173023,-6.1094065902117,-9.404038939305128,-3.2862539481022828,-4.086110523100812
64,1475.86860380389,-3.266887607478377,-6.271966421056946,-8.230235760367737,-5.4667238712059865,-8.825441104600305
65,850.0304365174851,-3.0635483537578754,-6.163418559543957,-4.385883998757416,-3.8055384670634105,-5.28261898555165
66,2103.659483515451,-9.218316541363324,-5.137802725541129,-9.553654754075152,-4.659160216091297,-9.260095323618902
67,625.27666891076,-6.935847674896817,-4.750802858764703,-9.689264349857517,-8.047140960902805,-5.304188008994304
68,1644.7225222752522,-8.692586464902998,-5.565794725955773,-4.022471979795716,-6.237246163686516,-4.916134080004686
69,1417.9419983806342,-4.996508268389884,-4.511586359258285,-5.286588107365203,-3.733161638450096,-9.177890424264564
70,1315.5679702927373,-4.478852074791144,-5.683014972232443,-9.4062395346316,-4.33326453082855,-4.571536920711213
71,1097.871664888079,-9.007736896585085,-9.830837781950589,-5.791275340542089,-7.622302436123366,-4.7030798935400275
72,507.908548584745,-6.571112220925745,-9.384985167286326,-9.648612928758793,-4.560459439702724,-6.13146762509696
73,1549.037352851416,-4.328529553865433,-8.909571177098904,-4.055297214120484,-6.013729348110378,-4.288257594284325
74,828.4159554674745,-3.3973597934134503,-7.369345373502148,-9.588959541082632,-5.698025320935725,-9.12590321674364
75,1199.8015451410986,-9.165598137653523,-6.9166587986124135,-5.632808961162151,-4.286958421277513,-4.149805321300248
76,218.99866939654015,-3.2326829216512083,-7.31284466879468,-5.443767342805721,-5.880762343081634,-4.157052399721027
77,1095.5593717975048,-3.690665182260278,-8.787249583281076,-9.282066561517611,-5.641350235816771,-4.983069231972602
78,478.1691763615313,-4.402192188671772,-7.8994516879624,-9.774753723077495,-4.4399583935580305,-6.7888822204218044
79,1613.1755386483562,-5.3549245217284485,-5.225044185247122,-9.62292189556198,-7.329309259897902,-9.425038305514862
80,578.2428165832339,-8.285119671865546,-9.355257048662798,-3.105536681302437,-5.072462260351367,-9.1204080931792
81,1332.722883627537,-8.852095240155935,-6.752982466575022,-5.125688345905899,-7.995247134493096,-4.1430577562227695
82,1548.8152211326187,-3.084282130823807,-5.524534777873495,-9.527882080183112,-4.187636405445326,-10.069931858474485
83,1061.1548695984218,-8.71535318709085,-8.78840839032781,-5.033010364189991,-7.112159092256678,-5.6880947300764575
84,702.4610511219661,-9.520926974141902,-4.401491749870627,-6.809800630254223,-6.011005017794238,-6.5226751510672125
85,735.3988419369875,-9.09593437157422,-6.8615038246602955,-3.0869801293695693,-3.093379583053859,-9.166807761156065
86,1998.8510381327292,-6.0164069607167345,-4.419931604757743,-3.3295119279905716,-7.372018774459448,-4.183197899572778
